timestamp,mode,face_detected,landmark_count,face_width_px,face_height_px,roi_width_px,roi_height_px,fps
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:26,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,0.36
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:27,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,9.96
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:28,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:29,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:29,ROI_RESIZED,0,0,0,0,448,309,10.15
2026-08-14 16:25:29,ROI_RESIZED,0,0,0,0,448,309,10.15
